2012-08-03 03:55:09 Debug: Datos almacenados en la tabla Ingreso, Usuario->super               
2012-08-03 03:55:09 Debug: Ingreso, Usuario->super               
2012-08-03 03:55:28 Notice: Notice (8): Undefined index:  opcionId in [/var/www/html/italica/app/controllers/unidads_controller.php, line 22]
2012-08-03 03:55:42 Debug: Unidad 1 almacenada en, Unidads por->super               
2012-08-03 03:56:00 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 103]
2012-08-03 03:56:00 Debug: Salida->Cierre de sesion, Usuario->
2012-08-03 03:56:00 Notice: Notice (8): Undefined index:  ingreso_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 104]
2012-08-03 03:57:22 Debug: Datos almacenados en la tabla Ingreso, Usuario->super               
2012-08-03 03:57:22 Debug: Ingreso, Usuario->super               
2012-08-03 03:57:31 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 03:57:33 Notice: Notice (8): Undefined index:  opcionId in [/var/www/html/italica/app/controllers/unidads_controller.php, line 22]
2012-08-03 03:57:43 Debug: Unidad 1 almacenada en, Unidads por->super               
2012-08-03 03:57:53 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 103]
2012-08-03 03:57:53 Debug: Salida->Cierre de sesion, Usuario->
2012-08-03 03:57:53 Notice: Notice (8): Undefined index:  ingreso_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 104]
2012-08-03 04:05:39 Debug: Datos almacenados en la tabla Ingreso, Usuario->super               
2012-08-03 04:05:39 Debug: Ingreso, Usuario->super               
2012-08-03 04:06:18 Notice: Notice (8): Undefined index:  opcionId in [/var/www/html/italica/app/controllers/unidads_controller.php, line 22]
2012-08-03 04:06:27 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 103]
2012-08-03 04:06:27 Debug: Salida->Cierre de sesion, Usuario->
2012-08-03 04:06:27 Notice: Notice (8): Undefined index:  ingreso_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 104]
2012-08-03 04:10:40 Debug: Datos almacenados en la tabla Ingreso, Usuario->super               
2012-08-03 04:10:40 Debug: Ingreso, Usuario->super               
2012-08-03 04:11:04 Notice: Notice (8): Undefined index:  opcionId in [/var/www/html/italica/app/controllers/unidads_controller.php, line 22]
2012-08-03 04:11:15 Debug: Unidad 1 almacenada en, Unidads por->super               
2012-08-03 04:11:22 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 103]
2012-08-03 04:11:22 Debug: Salida->Cierre de sesion, Usuario->
2012-08-03 04:11:22 Notice: Notice (8): Undefined index:  ingreso_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 104]
2012-08-03 04:13:02 Debug: Datos almacenados en la tabla Ingreso, Usuario->super               
2012-08-03 04:13:02 Debug: Ingreso, Usuario->super               
2012-08-03 04:13:20 Debug: Unidad 1 almacenada en, Unidads por->super               
2012-08-03 04:13:48 Debug: Unidad 13 almacenada en, Unidads por->super               
2012-08-03 04:16:37 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 04:16:39 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 04:16:40 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/usuarios_controller.php, line 21]
2012-08-03 04:16:49 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/rols_controller.php, line 18]
2012-08-03 04:16:50 Notice: Notice (8): Undefined index:  query in [/var/www/html/italica/app/controllers/rols_controller.php, line 91]
2012-08-03 04:16:54 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/usuarios_controller.php, line 21]
2012-08-03 04:17:44 Notice: Notice (8): Undefined index:  opcionId in [/var/www/html/italica/app/controllers/unidads_controller.php, line 22]
2012-08-03 05:28:49 Debug: Datos almacenados en la tabla Ingreso, Usuario->super               
2012-08-03 05:28:49 Debug: Ingreso, Usuario->super               
2012-08-03 05:28:56 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 05:28:58 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 05:29:00 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/rols_controller.php, line 18]
2012-08-03 05:29:02 Notice: Notice (8): Undefined index:  query in [/var/www/html/italica/app/controllers/rols_controller.php, line 91]
2012-08-03 05:29:04 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/usuarios_controller.php, line 21]
2012-08-03 05:29:18 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/rols_controller.php, line 18]
2012-08-03 05:29:19 Notice: Notice (8): Undefined index:  query in [/var/www/html/italica/app/controllers/rols_controller.php, line 91]
2012-08-03 05:30:16 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/opciones_controller.php, line 176]
2012-08-03 05:30:16 Debug: opcion 1006 almacenada en, Opciones por->
2012-08-03 05:30:22 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 05:30:23 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 05:30:38 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/rols_controller.php, line 18]
2012-08-03 05:30:39 Notice: Notice (8): Undefined index:  query in [/var/www/html/italica/app/controllers/rols_controller.php, line 91]
2012-08-03 06:36:30 Debug: Datos almacenados en la tabla Ingreso, Usuario->super               
2012-08-03 06:36:30 Debug: Ingreso, Usuario->super               
2012-08-03 06:36:45 Notice: Notice (8): Undefined index:  opcionId in [/var/www/html/italica/app/controllers/unidads_controller.php, line 22]
2012-08-03 06:37:16 Debug: Unidad 2 almacenada en, Unidads por->super               
2012-08-03 06:38:54 Notice: Notice (8): Undefined index:  opcionId in [/var/www/html/italica/app/controllers/unidads_controller.php, line 22]
2012-08-03 06:39:17 Debug: Unidad 2 almacenada en, Unidads por->super               
2012-08-03 06:49:56 Notice: Notice (8): Undefined index:  opcionId in [/var/www/html/italica/app/controllers/unidads_controller.php, line 22]
2012-08-03 06:50:33 Notice: Notice (8): Undefined index:  opcionId in [/var/www/html/italica/app/controllers/unidads_controller.php, line 22]
2012-08-03 06:53:36 Notice: Notice (8): Undefined index:  opcionId in [/var/www/html/italica/app/controllers/unidads_controller.php, line 22]
2012-08-03 06:57:02 Notice: Notice (8): Undefined index:  opcionId in [/var/www/html/italica/app/controllers/unidads_controller.php, line 22]
2012-08-03 06:58:24 Notice: Notice (8): Undefined index:  opcionId in [/var/www/html/italica/app/controllers/unidads_controller.php, line 22]
2012-08-03 06:58:58 Notice: Notice (8): Undefined index:  opcionId in [/var/www/html/italica/app/controllers/unidads_controller.php, line 22]
2012-08-03 06:59:36 Notice: Notice (8): Undefined index:  opcionId in [/var/www/html/italica/app/controllers/unidads_controller.php, line 22]
2012-08-03 06:59:49 Debug: Unidad 13 almacenada en, Unidads por->super               
2012-08-03 07:05:07 Notice: Notice (8): Undefined index:  opcionId in [/var/www/html/italica/app/controllers/unidads_controller.php, line 22]
2012-08-03 07:06:27 Notice: Notice (8): Undefined index:  opcionId in [/var/www/html/italica/app/controllers/unidads_controller.php, line 22]
